"ISBN","Catégorie"
"9781846198847","d",
"9780387947662","",
"9780128015001","",
"9781565921153","computer science",
"9780201924886","",
"9780201580433","",
"9780201633719","",
"9786130315467","",
"9780262150392","",
"9783843365826","",
"9786130646691","",
"9780124104143","",
"9780124159938","",
"9780123736550","",
"9780471984252","",
"9780198570493","",
"9780937175903","",
"9781558605886","",
"9780124109827","",
"9780735710016","",
"9780937175590","",
"0137231563","",
"9780201541991","",
"0201134470","",
"9780201703108","",
"9781565926103","",
"9780937175675","",
"0521431085","",
"9789814401234","biology",
"9783642273391","",
"9780199211135","",
"9780007315123","",
"9780393351552","",
"9783659634703","",
"9780226983363","",
"9780262112666","",
"9780120398638","",
"9781848001244","",
"9780195182187","",
"9780521799591","",
"9783527321186","",
"9780199208227","",
"9780521730716","",
"9781904933205","",
"9780195327311","",
"9780471586517","",
"9781405151665","",
"9780815340812","",
"9780262101066","bioinformatique",
"9780412993916","",
"9781558607972","",
"9780582803121","d",
"9780815340812","bioinformatique",
"9781859962725","",
"9781588293466","",
"9780262024426","",
"9780471210047","Box 1",
"9780521102445","physique/chimie",
"0471995789","",
"0471018686","",
"9780121898007","",
"9780521812603","",
"9780201539295","",
"9783540594789","",
"0201052296","",
"9783540736172","",
"9780486432465","",
"9780521010696","",
"0198551304","",
"0198551290","",
"9780486684802","",
"9780582444980","",
"9780135787823","mathématiques",
"0849378788","",
"9789814350464","",
"082840125x","",
"0333291700","",
"9780521597715","",
"9783832528508","",
"9780521134088","",
"9781568810478","",
"0471277118","",
"9780252725487","",
"9780198534181","",
"9780486652146","",
"9780340676530","",
"0828402698","",
"9780030969713","",
"9780486612720","",
"6780712084362","",
"9780122947575","",
"9780471149552","math",
"9780582382107","biologie",
"9782759804030","",
"9780120884070","computer science",
"9780201854695","",
"9781575862170","",
"9780470390634","math",
"9780582327887","bioinformatique",
"9781461419389","math",
"9781584884729","physique chimie",
